Rank,First Name,Last Name,Team,Overall,Medal
136,Shabdan,Batyrkulov,KGZ,277.32,B
137,Nicolas,Camenisch,CHE,275.54,B
138,Lennart,Ferlemann,DEU,272.58,B
139,Zhiyuan,Qi,NZL,272.22,B
140,Zachary,Smith,GBR,272.15,B
141,Muhannad,Alwarawreh,JOR,272.08,B
142,Jovan,Bengin,SRB,270.38,B
143,Andres,Alumets,EST,269.45,B
144,Jakob,Schrader,SVN,269.33,B
145,Bakari,Gamezardashvili,GEO,267.15,B
146,Gustav,Kalander,SWE,264.85,B
147,Fares,Pasuni,SAU,264.4,B
148,Hugo,Eberhard,SWE,264.34,B
149,Talantbek,Zhenishbek uulu,KGZ,263.76,B
150,Tunan,Shi,AUS,263.6,B
151,Kiryl,Shyrma,BLR,263.36,B
152,Zhan,Kurbanbayev,KAZ,262.67,B
153,Sebastian,Sánchez Lara,MEX,262.22,B
154,Frederico,Bulhões de Souza Ribeiro,BRA,260.56,B
155,Jon-Magnus,Rosenblad,NOR,260.33,B
156,Carl,Westerlund,SWE,258.31,B
157,Olli,Järviniemi,FIN,256.33,B
158,Bo-Yen,Tang,TWN,254.77,B
159,Joël,Huber,CHE,252.89,B
160,Tasmeem,Reza,BGD,252.65,B
161,Andrej,Shekerov,MKD,252.27,B
162,Itay,Yehuda,ISR,251,B
163,Mohammad Nour,Massri,SYR,250.19,B
164,Jakob,Nogler,ITA,249.58,P
165,Martin,Dinev,MKD,248.42,P
166,Tamer,Emad,SYR,246.69,P
167,Bálint,Molnár,HUN,246.33,P
168,Nader,Jemel,TUN,242,P
169,Osama,Alkhodairy,EGY,241.75,P
170,Mehmet Hamza,Erol,TUR,241.44,P
171,Kevin,Wan,CAN,241,P
172,Oscar,Jocqué,BEL,237.45,P
173,Javier,Nistal Salas,ESP,237.08,P
174,Renāts,Jurševskis,LVA,236,P
175,Cheng U,Ian,MAC,235.5,P
176,Sebastian,Weiermann,BEL,234.27,P
177,Murad,Eynizada,AZE,232.85,P
178,Christian,Bertram,DNK,232.26,P
179,Abutalib,Namazov,AZE,232.24,P
180,Ralph,McDougall,ZAF,232.11,P
181,Willian,Wang,BRA,232,P
182,Tian,Cilliers,ZAF,231.92,P
183,Mohammed Taariq,Mowzer,ZAF,231.66,P
184,Iat Long,Iong,MAC,230.33,P
185,Andreas,Kalavas,CYP,229.91,P
